FishEC,Sample,Species_Field_ID,geneticSppID,geneticSex,Preservation_Short,Place.Fished,Collected.by,General.Location,standard_length..mm.,total_length..mm.,collection_date,Landing.Site,Landing_site_Lat,Landing_site_long,Date,NumDays,TotalDays,library
138331.KIL31,KIL31,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,44,47,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138332.KIL32,KIL32,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,48,53,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138349.LUS17,LUS17,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,58,64,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138350.LUS18,LUS18,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,54,60,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138351.LUS19,LUS19,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,50,56,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138352.LUS20,LUS20,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,58,63,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138353.LUS21,LUS21,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,61,67,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138354.LUS22,LUS22,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,52,57,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138355.LUS23,LUS23,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,63,70,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138356.LUS24,LUS24,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,53,59,July.4.2016,Lusenda_DRC,-3.8900176,29.1089269,7/4/16,185,185,JJ lib 1
138528.SB71403,SB714_03,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,20,NA,July.14.2015,South Mahale,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138529.SB71404,SB714_04,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,20,NA,July.14.2015,Sibwesa rocks,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138530.SB71405,SB714_05,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,19,NA,July.14.2015,Sibwesa rocks,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138531.SB71408,SB714_08,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,21,NA,July.14.2015,South Mahale,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138532.SB71410,SB714_10,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,23,NA,July.14.2015,South Mahale,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138533.SB71416,SB714_16,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,21,NA,July.14.2015,South Mahale,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138534.SB71417,SB714_17,Unclear,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa rocks,Katie,South Mahale,21,NA,July.14.2015,Sibwesa rocks,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138535.SB71421,SB714_21,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,28,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138536.SB71422,SB714_22,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,20,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138537.SB71424,SB714_24,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,28,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138538.SB71425,SB714_25,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,27,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138539.SB71427,SB714_27,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,21,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138540.SB71429,SB714_29,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138541.SB71432,SB714_32,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,27,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138542.SB71440,SB714_40,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.14.2015,Sibwesa Bay,-6.495454,30.064173,7/14/15,194,-171,FGX lib 2
138543.SIB005,SIB005,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,25,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138544.SIB006,SIB006,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,22,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138545.SIB007,SIB007,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,21,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138546.SIB008,SIB008,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,21,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138547.SIB009,SIB009,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138548.SIB010,SIB010,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138549.SIB011,SIB011,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,26,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138550.SIB012,SIB012,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138551.SIB013,SIB013,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,21,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138552.SIB014,SIB014,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138553.SIB015,SIB015,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138554.SIB016,SIB016,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,25,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138555.SIB017,SIB017,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,26,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138556.SIB018,SIB018,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
